TIME,TARGET_BIN,DETECTED_BIN
11:37:21,R,R
11:37:21,R,
11:37:50,P,P
11:38:11,R,R
11:38:15,R,
11:40:16,R,R
11:40:16,R,
11:40:21,R,
11:41:11,R,
11:41:12,R,
11:41:14,R,
11:41:17,R,
11:41:17,R,
11:41:18,R,
11:41:19,R,
11:41:22,R,
11:41:23,R,
11:41:28,R,
11:41:30,R,
11:41:33,R,
11:41:35,R,
11:41:37,R,
11:41:38,R,
11:41:38,R,
11:41:39,R,
11:41:39,R,
11:41:41,R,
11:41:44,R,
11:41:47,R,
11:41:48,R,
11:41:49,R,
11:42:02,R,R
11:42:02,R,
11:42:05,R,
11:42:51,R,
11:42:58,R,
11:42:59,R,
12:04:40,P,
12:05:32,R,R
12:05:33,R,
12:05:33,R,
12:05:40,R,
12:05:46,R,R
12:05:46,R,
12:05:47,R,
12:07:51,R,
12:07:51,R,
12:07:53,R,
12:07:54,R,
12:07:57,R,
12:08:50,P,
12:09:15,R,
12:09:23,R,R
12:09:23,R,
12:09:23,R,
12:12:31,P,
12:29:40,R,R
12:29:40,R,
15:27:26,R,R
15:27:26,R,
15:29:29,R,
15:29:32,R,
15:29:54,P,P
15:29:55,P,
15:43:19,R,
