TIME,TARGET_BIN,DETECTED_BIN
15:23:09,P,
15:23:09,P,
15:23:09,P,
15:23:09,P,
15:23:23,L,L
15:23:23,P,
15:23:23,P,
15:23:23,P,
15:23:24,P,
15:23:25,P,
15:23:25,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:37:39,P,
15:38:23,P,P
15:38:24,P,
15:38:24,P,
15:38:24,P,
15:38:24,P,
15:38:24,P,
15:38:24,P,
15:38:24,P,
15:38:24,P,
15:38:24,P,
15:38:24,P,
15:38:24,P,
15:38:24,P,
15:38:24,P,
15:38:24,P,
15:38:24,P,
15:38:24,P,
15:38:24,P,
15:38:24,P,
15:38:24,P,
15:38:24,P,
15:38:24,P,
15:38:24,P,
15:38:24,P,
15:38:24,P,
15:38:24,P,
15:38:24,P,
15:38:24,P,
15:38:24,P,
15:38:24,P,
15:38:24,P,
15:38:24,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:53,P,
15:38:59,P,
15:38:59,P,
15:38:59,P,
15:38:59,P,
15:38:59,P,
15:38:59,P,
15:38:59,P,
15:38:59,P,
15:38:59,P,
15:38:59,P,
15:38:59,P,
15:38:59,P,
15:38:59,P,
15:38:59,P,
15:38:59,P,
15:38:59,P,
15:38:59,P,
15:38:59,P,
15:38:59,P,
15:38:59,P,
15:38:59,P,
15:38:59,P,
15:38:59,P,
15:38:59,P,
15:38:59,P,
15:38:59,P,
15:38:59,P,
15:38:59,P,
15:38:59,P,
15:38:59,P,
15:38:59,P,
15:38:59,P,
15:38:59,P,
15:38:59,P,
15:38:59,P,
15:38:59,P,
15:38:59,P,
15:38:59,P,
15:38:59,P,
15:38:59,P,
15:38:59,P,
15:38:59,P,
15:38:59,P,
15:38:59,P,
15:38:59,P,
15:38:59,P,
15:38:59,P,
15:38:59,P,
15:38:59,P,
15:38:59,P,
15:38:59,P,
15:38:59,P,
15:38:59,P,
15:38:59,P,
15:38:59,P,
15:38:59,P,
15:38:59,P,
15:38:59,P,
15:38:59,P,
15:38:59,P,
15:39:00,P,
15:39:00,P,
15:39:00,P,
15:39:00,P,
15:39:00,P,
15:39:00,P,
15:39:00,P,
15:39:00,P,
15:39:00,P,
15:39:00,P,
15:39:00,P,
15:39:00,P,
15:39:00,P,
15:39:00,P,
15:39:00,P,
15:39:00,P,
15:39:00,P,
15:39:00,P,
15:39:00,P,
15:39:00,P,
15:39:00,P,
15:39:00,P,
15:39:00,P,
15:39:00,P,
15:39:00,P,
15:39:00,P,
15:39:00,P,
15:39:00,P,
15:39:00,P,
15:39:00,P,
15:39:00,P,
15:39:00,P,
15:39:00,P,
15:39:00,P,
15:39:00,P,
15:39:00,P,
15:39:00,P,
15:39:00,P,
15:39:00,P,
15:39:00,P,
15:39:00,P,
15:39:00,P,
15:39:00,P,
15:39:00,P,
15:39:00,P,
15:39:00,P,
15:39:00,P,
15:39:01,P,
15:39:01,P,
15:39:01,P,
15:39:01,P,
15:39:01,P,
15:39:01,P,
15:39:01,P,
15:39:01,P,
15:39:01,P,
15:39:01,P,
15:39:06,P,
15:39:06,P,
15:39:06,P,
15:39:06,P,
15:39:06,P,
15:39:06,P,
15:39:06,P,
