TIME,TARGET_BIN,DETECTED_BIN
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
19:23:35,R,
