TIME,RESIDUAL_BIN,PLASTIC_BIN,
14:49:56,0,0,
15:19:51,0,0,
15:19:56,0,0,
15:20:01,0,0,
15:20:06,0,0,
15:20:11,0,0,
15:20:16,0,0,
15:20:22,0,0,
15:20:27,0,0,
15:20:32,0,0,
15:20:37,0,0,
15:20:42,0,0,
15:20:47,0,0,
15:20:52,0,0,
15:20:57,0,0,
15:21:10,0,0,
15:21:15,0,0,
15:21:20,0,0,
15:21:25,0,0,
15:21:31,100,0,
15:21:36,100,0,
15:21:41,0,0,
15:21:46,0,0,
15:21:51,0,0,
15:21:56,0,0,
15:22:01,0,0,
15:22:06,0,0,
15:22:11,0,0,
15:22:16,0,0,
15:22:22,0,0,
15:22:27,0,0,
15:22:32,0,0,
15:22:37,0,0,
15:22:42,0,0,
15:22:47,0,0,
15:23:02,0,0,
15:23:07,0,0,
15:23:12,0,0,
15:23:17,0,0,
15:23:23,0,0,
15:23:29,0,0,
15:23:36,0,0,
15:37:32,0,0,
15:37:37,0,0,
15:37:43,0,0,
15:37:48,0,0,
15:37:53,91,0,
15:37:58,91,0,
15:38:03,0,0,
15:38:08,0,0,
15:38:13,0,0,
15:38:19,0,0,
15:38:25,0,0,
15:38:32,0,0,
15:38:39,0,0,
15:38:46,0,0,
15:38:52,0,0,
15:38:59,0,0,
15:39:06,0,0,
15:39:13,0,0,
15:46:52,0,0,
15:47:52,0,0,
15:48:52,0,0,
15:49:52,0,0,
15:51:31,0,0,
15:53:50,0,0,
15:54:50,0,0,
15:55:50,0,0,
15:56:50,0,0,
15:57:50,0,0,
15:58:50,0,0,
16:03:38,0,0,
16:04:38,0,0,
16:06:32,0,0,
16:07:32,0,0,
16:09:27,0,0,
16:10:27,0,0,
16:11:27,0,0,
16:12:27,0,0,
16:13:27,0,0,
16:16:11,0,0,
16:19:06,0,0,
16:22:34,0,0,
